Update Time Stamp,Tested As Of,Daily RTPCR tests,Total RTPCR tests,Total Samples Tested,Total Individuals Tested,Total Positive Cases,Tests conducted by Private Labs,Sample Reported today,Positive cases from samples reported,Source,Source 1,Source 3,Test positivity rate,Individuals Tested Per Confirmed Case,Tests Per Confirmed Case,Tests per million
14/08/2020 09:00:00,13/08/2020,410635,15914051,27694416,,,,848728,,http://twitter.com/ICMRDELHI/status/1294118346384797697,https://t.me/Covid19india_Auxiliary_Test_Data/1704,https://t.me/Covid19india_Auxiliary_Test_Data/1891,8.88%,,,20778
15/08/2020 09:00:00,14/08/2020,391987,16306038,28563095,,,,868679,,http://twitter.com/ICMRDELHI/status/1294485146712698880,https://t.me/Covid19india_Auxiliary_Test_Data/1724,https://t.me/Covid19india_Auxiliary_Test_Data/1891,8.84%,,,21429
16/08/2020 09:00:00,15/08/2020,262944,16568982,29309703,,,,746608,,http://twitter.com/ICMRDELHI/status/1294841110259326976,https://t.me/Covid19india_Auxiliary_Test_Data/1739,https://t.me/Covid19india_Auxiliary_Test_Data/1891,8.83%,,,21989
17/08/2020 09:00:00,16/08/2020,234952,16803934,30041400,,,,731697,,http://twitter.com/ICMRDELHI/status/1295198089125355521,https://t.me/Covid19india_Auxiliary_Test_Data/1752,,8.81%,,,22538
18/08/2020 09:00:00,17/08/2020,447058,17250992,30941264,,,,899864,,https://twitter.com/ICMRDELHI/status/1295561779540459520,https://t.me/Covid19india_Auxiliary_Test_Data/1771,https://t.me/Covid19india_Auxiliary_Test_Data/1894,8.73%,,,23213
19/08/2020 09:00:00,18/08/2020,438072,17689064,31742782,,,,801518,,http://twitter.com/ICMRDELHI/status/1295929066009182210,https://t.me/Covid19india_Auxiliary_Test_Data/1791,https://t.me/Covid19india_Auxiliary_Test_Data/1894,8.72%,,,23815
20/08/2020 09:00:00,19/08/2020,424438,18113502,32661252,,,,918470,,https://twitter.com/ICMRDELHI/status/1296296417372250113,https://t.me/Covid19india_Auxiliary_Test_Data/1804,https://t.me/Covid19india_Auxiliary_Test_Data/1894,8.68%,,,24504
21/08/2020 09:00:00,20/08/2020,423479,18536981,33467237,,,,805985,,http://twitter.com/ICMRDELHI/status/1296650359285243905,https://t.me/Covid19india_Auxiliary_Test_Data/1820,https://t.me/Covid19india_Auxiliary_Test_Data/1894,8.68%,,,25109
22/08/2020 09:00:00,21/08/2020,416067,18953048,34491073,,,,1023836,,http://twitter.com/ICMRDELHI/status/1297010234624315393,https://t.me/Covid19india_Auxiliary_Test_Data/1839,https://t.me/Covid19india_Auxiliary_Test_Data/1879,8.62%,,,25877
23/08/2020 09:00:00,22/08/2020,331560,19284608,35292220,,,,801147,,https://twitter.com/ICMRDELHI/status/1297387806818353152,https://t.me/Covid19india_Auxiliary_Test_Data/1862,https://t.me/Covid19india_Auxiliary_Test_Data/1881,8.62%,,,26478
24/08/2020 09:00:00,23/08/2020,256070,19540678,35902137,,,,609917,,https://twitter.com/ICMRDELHI/status/1297742879255719936?s=20,https://t.me/Covid19india_Auxiliary_Test_Data/1874,https://t.me/Covid19india_Auxiliary_Test_Data/1875,8.65%,,,26935
25/08/2020 09:00:00,24/08/2020,458481,19999159,36827520,,,,925383,,https://twitter.com/ICMRDELHI/status/1298107913597153280?s=20,https://t.me/Covid19india_Auxiliary_Test_Data/1904,https://t.me/Covid19india_Auxiliary_Test_Data/1902,8.59%,,,27630
26/08/2020 09:00:00,25/08/2020,474795,20473954,37651512,,,,823992,,https://twitter.com/ICMRDELHI/status/1298463649770553344?s=20,https://t.me/Covid19india_Auxiliary_Test_Data/1923,https://t.me/Covid19india_Auxiliary_Test_Data/1920,8.58%,,,28248
27/08/2020 09:00:00,26/08/2020,473145,20947099,38576510,,,,924998,,https://twitter.com/ICMRDELHI/status/1298823131100938241?s=20,https://t.me/Covid19india_Auxiliary_Test_Data/1944,https://t.me/Covid19india_Auxiliary_Test_Data/1941,8.57%,,,28942
28/08/2020 09:00:00,27/08/2020,458987,21406086,39477848,,,,901338,,https://twitter.com/ICMRDELHI/status/1299192086776786944?s=20,https://t.me/Covid19india_Auxiliary_Test_Data/1964,https://t.me/Covid19india_Auxiliary_Test_Data/1961,8.57%,,,29618
29/08/2020 09:00:00,28/08/2020,450468,21856554,40406609,,,,928761,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_29Aug2020.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/1985,https://t.me/Covid19india_Auxiliary_Test_Data/1982,8.57%,,,30315
30/08/2020 09:00:00,29/08/2020,431191,22287745,41461636,,,,1055027,,http://twitter.com/ICMRDELHI/status/1299912932717813761,https://t.me/Covid19india_Auxiliary_Test_Data/2002,https://t.me/Covid19india_Auxiliary_Test_Data/2004?single,8.54%,,,31106
31/08/2020 09:00:00,30/08/2020,257124,22544869,42307914,,,,846278,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_31Aug2020.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/2038,https://t.me/Covid19india_Auxiliary_Test_Data/2036,8.55%,,,31741
01/09/2020 09:00:00,31/08/2020,481071,23025940,43324834,,,,1016920,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_01Sept2020.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/2058,https://t.me/Covid19india_Auxiliary_Test_Data/2050,8.51%,,,32504
02/09/2020 09:00:00,01/09/2020,460496,23486436,44337201,,,,1012367,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_02Sept2020.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/2080,https://t.me/Covid19india_Auxiliary_Test_Data/2078,8.49%,,,33264
03/09/2020 09:00:00,02/09/2020,447027,23933463,45509380,,,,1172179,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_03Sept2020.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/2107,https://t.me/Covid19india_Auxiliary_Test_Data/2104,8.46%,,,34143
04/09/2020 09:00:00,03/09/2020,452079,24385542,46679145,,,,1169765,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_04Sept2020.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/2132,https://t.me/Covid19india_Auxiliary_Test_Data/2130,8.43%,,,35021
